Ticker,Total_Weight,Largest_Exposure,Number_of_Categories,HHI,Effective_Categories
AGGG.L,100.0,48.33,7,0.3243,3.08
CORP.L,100.0,89.67,3,0.813,1.23
EQQQ.L,100.0,100.0,1,1.0,1.0
GHYS.L,100.0,90.67,5,0.8272,1.21
IBTG.L,100.0,99.83,2,0.9966,1.0
ICHN.AS,100.0,100.0,1,1.0,1.0
IGLO.L,100.0,55.12,8,0.3408,2.93
INRG.L,100.0,100.0,1,1.0,1.0
ISF.L,100.0,100.0,1,1.0,1.0
IUHC.L,100.0,100.0,1,1.0,1.0
IUIT.L,100.0,100.0,1,1.0,1.0
IWDP.L,100.0,100.0,1,1.0,1.0
SWDA.L,99.99,72.45,6,0.547,1.83
VEUR.L,100.04,22.47,16,0.1297,7.71
VFEG.L,100.0,33.78,16,0.2143,4.67
VGOV.L,100.0,99.7,2,0.994,1.01
VJPN.L,100.0,100.0,1,1.0,1.0
VUAG.L,100.0,100.0,1,1.0,1.0
VWRP.L,100.0,61.7,16,0.3937,2.54
