ETF_ID,ETF_Name,Ticker,Provider,Risk_Category,Asset_Class,Region,Sector_Focus,Number_of_Holdings,Holdings_Data_Quality,Main_Currency_Exposure,Currency_Risk_Level,Data_As_Of,Source_URL,Notes
VWRP,Vanguard FTSE All-World UCITS ETF,VWRP.L,Vanguard,Medium,Equity,Global,Broad,3782,Exact provider,USD-dominant / multi-currency,Medium,2026-06-30,https://www.vanguard.co.uk/uk-fund-directory/product/etf/equity/9679/ftse-all-world-ucits-etf-usd-accumulating,Broad global equity ETF. Exact country split included; currency split is a country-based proxy.
SWDA,iShares Core MSCI World UCITS ETF,SWDA.L,iShares,Medium,Equity,Developed markets,Broad,1283,Exact provider,USD-dominant / multi-currency developed markets,Medium,2026-07-17,https://www.ishares.com/uk/individual/en/products/251882/SWDA,Developed-market equity ETF. Use provider holdings download if full sector/country split is required.
VUAG,Vanguard S&P 500 UCITS ETF,VUAG.L,Vanguard,Medium,Equity,US,Broad large-cap,504,Exact provider,USD,Medium,2026-06-30,https://www.vanguard.co.uk/professional/product/etf/equity/9694/vanguard-sp-500-ucits-etf-usd-accumulating,Tracks S&P 500; US equity and USD exposure.
ISF,iShares Core FTSE 100 UCITS ETF,ISF.L,iShares,Medium,Equity,UK,Broad large-cap,100,Exact provider,GBP-dominant,Low,2026-07-17,https://www.ishares.com/uk/individual/en/products/251795/ishares-ftse-100-ucits-etf-inc-fund?siteEntryPassthrough=true,UK equity exposure; some constituent revenue may be international but listing/geographic exposure is UK.
EQQQ,Invesco EQQQ Nasdaq-100 UCITS ETF,EQQQ.L,Invesco,Higher,Equity,US,Growth / Nasdaq,100,Benchmark-level,USD,Medium,2026-04-30,https://www.invesco.com/uk/en/financial-products/etfs/invesco-eqqq-nasdaq-100-ucits-etf-gbp-hdg-acc.html,Nasdaq-100 exposure; high sector/growth concentration. Holdings count treated as benchmark-level.
VEUR,Vanguard FTSE Developed Europe UCITS ETF,VEUR.L,Vanguard,Medium,Equity,Europe,Broad,515,Exact provider,EUR/GBP/CHF/multi-Europe,Medium,2026-06-30,https://www.vanguard.co.uk/uk-fund-directory/product/etf/equity/9681/ftse-developed-europe-ucits,Developed Europe equity exposure. Exact country split included.
VJPN,Vanguard FTSE Japan UCITS ETF,VJPN.L,Vanguard,Medium,Equity,Japan,Broad,476,Exact provider,JPY,Medium,2026-06-30,https://www.vanguard.co.uk/professional/product/etf/equity/9504/ftse-japan-ucits,Japan equity exposure; country split is 100% Japan.
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Vanguard,Higher,Equity,Emerging markets,Broad,2306,Exact provider,TWD/CNY/INR/BRL/ZAR/SAR/MXN/multi-EM,High,2026-06-30,https://www.vanguard.co.uk/professional/product/etf/equity/9678/ftse-emerging-markets-ucits,Emerging market equity exposure; exact country split included.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,iShares,Higher,Equity,China,Regional,576,Exact provider fact sheet,CNY/HKD/USD,High,2026-06-30,https://www.ishares.com/uk/individual/en/literature/fact-sheet/ichn-ishares-msci-china-ucits-etf-fund-fact-sheet-en-gb.pdf,China large- and mid-cap equity exposure; top 10 concentration available in source factsheet.
IUIT,iShares S&P 500 Information Technology Sector UCITS ETF,IUIT.L,iShares,Higher,Equity,US,Technology,74,Exact provider,USD,Medium,2026-07-17,https://www.ishares.com/uk/individual/en/products/280510/ishares-s-p-500-information-technology-sector-ucits-etf?siteEntryPassthrough=true&switchLocale=y,US information technology sector ETF; high sector concentration.
IUHC,iShares S&P 500 Health Care Sector UCITS ETF,IUHC.L,iShares,Medium,Equity,US,Healthcare,60,Exact provider,USD,Medium,2026-07-17,https://www.ishares.com/uk/individual/en/products/280507/ishares-sp-500-health-care-sector-ucits-etf?siteEntryPassthrough=true&switchLocale=y,US healthcare sector ETF; sector concentrated but usually less thematic than technology/clean energy.
INRG,iShares Global Clean Energy Transition UCITS ETF,INRG.L,iShares,Higher,Equity,Global,Clean energy,106,Exact provider,USD / multi-country,High,2026-07-17,https://www.ishares.com/uk/individual/en/products/251911/ishares-global-clean-energy-ucits-etf?siteEntryPassthrough=true&switchLocale=y,Clean energy thematic ETF; provider highlights concentration risk.
VGOV,Vanguard U.K. Gilt UCITS ETF,VGOV.L,Vanguard,Lower,Bond,UK,Government bonds,64,Exact provider,GBP,Low,2026-03-31,https://www.vanguard.co.uk/professional/product/etf/bond/9599/uk-gilt-ucits-etf-accumulating,UK government bond ETF; country exposure mainly UK.
IGLO,iShares Global Govt Bond UCITS ETF,IGLO.L,iShares,Lower,Bond,Global,Government bonds,895,Exact provider,USD / multi-developed government bond currencies,Medium,2026-05-18,https://www.ishares.com/uk/professional/en/products/251753/iglo?siteEntryPassthrough=true&switchLocale=y,Global government bond ETF; top issuer split included.
IBTG,iShares $ Treasury Bond 1-3yr UCITS ETF GBP Hedged,IBTG.L,iShares,Lower,Bond,US,Short-term government bonds,91,Exact provider,GBP-hedged USD Treasury exposure,Low,2026-07-16,https://www.ishares.com/uk/individual/en/products/296771/ishares-treasury-bond-1-3yr-ucits-etf?siteEntryPassthrough=true&switchLocale=y,GBP-hedged US Treasury ETF; currency risk reduced by hedging.
AGGG,iShares Core Global Aggregate Bond UCITS ETF,AGGG.L,iShares,Lower,Bond,Global,Aggregate bonds,19974,Exact provider,USD / multi-currency global aggregate bonds,Medium,2026-06-03,https://www.ishares.com/uk/individual/en/products/291773/ishares-global-aggregate-bond-ucits-etf-fund?siteEntryPassthrough=true,Global investment-grade aggregate bond ETF; very large number of holdings.
CORP,iShares Global Corp Bond UCITS ETF,CORP.L,iShares,Medium,Bond,Global,Investment-grade corporate bonds,14720,Exact provider,USD / multi-currency global corporate bonds,Medium,2026-06-19,https://www.ishares.com/uk/individual/en/products/251813/ishares-global-corporate-bond-ucits-etf?siteEntryPassthrough=true&switchLocale=y,Global investment-grade corporate bond ETF.
GHYS,iShares Global High Yield Corp Bond GBP Hedged UCITS ETF,GHYS.L,iShares,Higher,Bond,Global,High-yield corporate bonds,1768,Exact provider,GBP-hedged global high-yield exposure,Low,2026-07-17,https://www.ishares.com/uk/individual/en/products/253488/ishares-global-high-yield-corp-bond-gbp-hedged-ucits-etf?siteEntryPassthrough=true&switchLocale=y,High-yield bond risk is credit-driven even though currency risk is reduced by GBP hedging.
SGLN,iShares Physical Gold ETC,SGLN.L,iShares,Alternative,Gold,Global,Gold,1,Single-asset ETC,USD gold price exposure,Medium,2026-07-07,https://www.ishares.com/uk/individual/en/products/258441/ishares-physical-gold-etc-fund,"ETC, not ETF. Represents physical gold exposure; gold is normally priced in USD."
IWDP,iShares Developed Markets Property Yield UCITS ETF,IWDP.L,iShares,Alternative,Property,Developed markets,Property / REITs,315,Provider value not visible in scraped page,USD / multi-developed property currencies,Medium,2026-07-21,https://www.ishares.com/uk/professional/en/products/251801/?siteEntryPassthrough=true&switchLocale=y,Property/REIT ETF. Provider page confirms sector and overseas currency risks; add exact holdings count from latest provider factsheet if required.
